Date : 2021-12-27 00:52:28
Directory : /home/gavin/LegendaryLabs/GraphQL-API/src
Total : 109 files,  7162 codes, 98 comments, 354 blanks, all 7614 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         32 |      6,216 |          0 |         32 |      6,248 |
| TypeScript |         77 |        946 |         98 |        322 |      1,366 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        109 |      7,162 |         98 |        354 |      7,614 |
| app                                                                                                                               |         73 |        857 |         97 |        304 |      1,258 |
| app/lab                                                                                                                           |         34 |        476 |          2 |        140 |        618 |
| app/lab/access-control-roles                                                                                                      |          4 |         42 |          0 |         14 |         56 |
| app/lab/access-control-users                                                                                                      |          4 |         61 |          0 |         20 |         81 |
| app/lab/all-promo-events                                                                                                          |          3 |         56 |          0 |         14 |         70 |
| app/lab/all-promo-tickets                                                                                                         |          3 |         65 |          0 |         15 |         80 |
| app/lab/child-contracts                                                                                                           |          4 |         48 |          0 |         15 |         63 |
| app/lab/promo-counts                                                                                                              |          4 |         43 |          0 |         14 |         57 |
| app/lab/promo-event                                                                                                               |          4 |         60 |          0 |         23 |         83 |
| app/lab/redeemable-promo-tickets                                                                                                  |          4 |         68 |          0 |         17 |         85 |
| app/marketplace                                                                                                                   |          8 |         69 |          2 |         26 |         97 |
| app/marketplace/marketplace-rules                                                                                                 |          4 |         52 |          0 |         18 |         70 |
| app/matching                                                                                                                      |          4 |         15 |          2 |          8 |         25 |
| app/nft                                                                                                                           |         12 |        158 |         76 |         86 |        320 |
| app/nft/blending-rules                                                                                                            |          4 |         57 |          0 |         20 |         77 |
| app/nft/legendnft                                                                                                                 |          4 |         84 |         74 |         56 |        214 |
| app/reju                                                                                                                          |          8 |         66 |          2 |         25 |         93 |
| app/reju/rejuvenation-rules                                                                                                       |          4 |         49 |          0 |         17 |         66 |
| app/token                                                                                                                         |          4 |         15 |          2 |          8 |         25 |
| contract-lab                                                                                                                      |         35 |      6,298 |          1 |         48 |      6,347 |
| contract-lab/abis                                                                                                                 |         32 |      6,216 |          0 |         32 |      6,248 |
| contract-lab/abis/lab                                                                                                             |          4 |      1,457 |          0 |          4 |      1,461 |
| contract-lab/abis/lab/LegendsLaboratory.sol                                                                                       |          2 |      1,175 |          0 |          2 |      1,177 |
| contract-lab/abis/lab/TicketMachine.sol                                                                                           |          2 |        282 |          0 |          2 |        284 |
| contract-lab/abis/legend                                                                                                          |          4 |      1,151 |          0 |          4 |      1,155 |
| contract-lab/abis/legend/ILegendMetadata.sol                                                                                      |          2 |        197 |          0 |          2 |        199 |
| contract-lab/abis/legend/LegendsNFT.sol                                                                                           |          2 |        954 |          0 |          2 |        956 |
| contract-lab/abis/marketplace                                                                                                     |         12 |      1,895 |          0 |         12 |      1,907 |
| contract-lab/abis/marketplace/LegendsMarketplace.sol                                                                              |          2 |        719 |          0 |          2 |        721 |
| contract-lab/abis/marketplace/escrow                                                                                              |          4 |        446 |          0 |          4 |        450 |
| contract-lab/abis/marketplace/escrow/LegendsEscrow.sol                                                                            |          2 |        369 |          0 |          2 |        371 |
| contract-lab/abis/marketplace/escrow/LegendsMarketClerk.sol                                                                       |          2 |         77 |          0 |          2 |         79 |
| contract-lab/abis/marketplace/listings                                                                                            |          6 |        730 |          0 |          6 |        736 |
| contract-lab/abis/marketplace/listings/ILegendListing.sol                                                                         |          2 |        124 |          0 |          2 |        126 |
| contract-lab/abis/marketplace/listings/LegendAuction.sol                                                                          |          2 |        364 |          0 |          2 |        366 |
| contract-lab/abis/marketplace/listings/LegendSale.sol                                                                             |          2 |        242 |          0 |          2 |        244 |
| contract-lab/abis/matching                                                                                                        |          6 |        813 |          0 |          6 |        819 |
| contract-lab/abis/matching/LegendsMatchingBoard.sol                                                                               |          2 |        384 |          0 |          2 |        386 |
| contract-lab/abis/matching/match                                                                                                  |          4 |        429 |          0 |          4 |        433 |
| contract-lab/abis/matching/match/ILegendMatch.sol                                                                                 |          2 |        142 |          0 |          2 |        144 |
| contract-lab/abis/matching/match/LegendMatching.sol                                                                               |          2 |        287 |          0 |          2 |        289 |
| contract-lab/abis/rejuvenation                                                                                                    |          4 |        485 |          0 |          4 |        489 |
| contract-lab/abis/rejuvenation/IRejuvenationPod.sol                                                                               |          2 |        152 |          0 |          2 |        154 |
| contract-lab/abis/rejuvenation/LegendRejuvenation.sol                                                                             |          2 |        333 |          0 |          2 |        335 |
| contract-lab/abis/token                                                                                                           |          2 |        415 |          0 |          2 |        417 |
| contract-lab/abis/token/LegendToken.sol                                                                                           |          2 |        415 |          0 |          2 |        417 |
| contract-lab/config                                                                                                               |          2 |         28 |          0 |          4 |         32 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                          | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/app.controller.ts                                                                   | TypeScript |         10 |          0 |          3 |         13 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/app.module.ts                                                                       | TypeScript |         39 |          1 |          2 |         42 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/app.service.ts                                                                      | TypeScript |          9 |         10 |          6 |         25 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-roles/access-control-roles.model.ts                              | TypeScript |         10 |          0 |          5 |         15 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-roles/access-control-roles.module.ts                             | TypeScript |          7 |          0 |          2 |          9 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-roles/access-control-roles.resolver.ts                           | TypeScript |         11 |          0 |          3 |         14 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-roles/access-control-roles.service.ts                            | TypeScript |         14 |          0 |          4 |         18 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-users/access-control-users.model.ts                              | TypeScript |          6 |          0 |          2 |          8 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-users/access-control-users.module.ts                             | TypeScript |          7 |          0 |          2 |          9 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-users/access-control-users.resolver.ts                           | TypeScript |         11 |          0 |          3 |         14 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/access-control-users/access-control-users.service.ts                            | TypeScript |         37 |          0 |         13 |         50 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-events/all-promo-events.module.ts                                     | TypeScript |          8 |          0 |          2 |         10 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-events/all-promo-events.resolver.ts                                   | TypeScript |         13 |          0 |          3 |         16 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-events/all-promo-events.service.ts                                    | TypeScript |         35 |          0 |          9 |         44 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-tickets/all-promo-tickets.module.ts                                   | TypeScript |         12 |          0 |          2 |         14 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-tickets/all-promo-tickets.resolver.ts                                 | TypeScript |         19 |          0 |          3 |         22 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/all-promo-tickets/all-promo-tickets.service.ts                                  | TypeScript |         34 |          0 |         10 |         44 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/child-contracts/child-contracts.model.ts                                        | TypeScript |         14 |          0 |          6 |         20 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/child-contracts/child-contracts.module.ts                                       | TypeScript |          7 |          0 |          2 |          9 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/child-contracts/child-contracts.resolver.ts                                     | TypeScript |         11 |          0 |          3 |         14 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/child-contracts/child-contracts.service.ts                                      | TypeScript |         16 |          0 |          4 |         20 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/lab.module.ts                                                                   | TypeScript |         25 |          0 |          2 |         27 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/lab.resolver.ts                                                                 | TypeScript |          3 |          0 |          2 |          5 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/lab.schema.ts                                                                   | TypeScript |          2 |          2 |          2 |          6 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/lab.service.ts                                                                  | TypeScript |          3 |          0 |          2 |          5 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-counts/promo-counts.model.ts                                              | TypeScript |          8 |          0 |          3 |         11 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-counts/promo-counts.module.ts                                             | TypeScript |          7 |          0 |          2 |          9 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-counts/promo-counts.resolver.ts                                           | TypeScript |         11 |          0 |          3 |         14 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-counts/promo-counts.service.ts                                            | TypeScript |         17 |          0 |          6 |         23 |
| /home/gavin/LegendaryLabs/GraphQL-API/src/app/lab/promo-event/promo-event.model.ts                                                | TypeScript |         22 |          0 |         10 |         32 |
